Outcome_ID,Year,Quarter,Department,AI_Tool,Total_Cases,AI_Assisted_Cases,AI_Usage_Rate_%,Avg_Diagnosis_Time_min,Readmission_Rate_%,Mortality_Rate_%,False_Positive_Rate_%,False_Negative_Rate_%,Cost_Per_Case_USD,Patient_Wait_Time_min,Staff_Efficiency_Score,AI_Recommendation_Accepted_%,Critical_Alert_Response_Time_min
OUT_0177,2022,Q2,Neurology,Radiology AI,6718,3172,47.2,6.7,14.0,0.86,6.4,1.4,2231.69,86,7.7,67.3,24.5
OUT_0178,2021,Q3,ICU,NLP for Medical Records,5842,3654,62.5,52.2,12.8,7.15,11.9,1.7,1788.71,12,5.2,74.3,10.8
OUT_0179,2023,Q2,Oncology,Patient Monitoring AI,2090,1559,74.6,79.6,10.5,7.79,7.6,5.2,4700.75,136,6.9,72.0,6.3
OUT_0180,2020,Q1,Surgery,Robotic Surgery AI,4000,3397,84.9,61.7,5.2,2.14,8.0,4.4,433.89,135,5.9,57.6,22.1
OUT_0181,2021,Q2,Oncology,Patient Monitoring AI,4965,2348,47.3,76.9,4.5,1.14,11.0,3.5,3453.74,155,6.5,77.8,18.8
OUT_0182,2024,Q4,Oncology,Predictive Analytics,4049,2835,70.0,33.4,17.8,2.89,14.1,6.4,831.17,17,9.0,65.8,6.6
OUT_0183,2024,Q2,Neurology,Predictive Analytics,6780,2671,39.4,42.9,17.3,4.99,15.0,6.3,1016.89,129,9.0,53.7,2.9
OUT_0184,2022,Q2,Surgery,NLP for Medical Records,6130,5765,94.0,9.8,14.3,6.55,3.5,3.0,4533.7,152,9.8,78.9,19.5
OUT_0185,2021,Q1,Surgery,Predictive Analytics,9350,6421,68.7,44.6,15.2,2.36,5.5,0.8,978.05,11,7.0,68.5,13.2
OUT_0186,2020,Q2,Pathology,NLP for Medical Records,5599,4938,88.2,61.6,8.6,3.17,2.5,7.3,3604.6,128,8.2,51.4,1.2
OUT_0187,2021,Q3,Surgery,NLP for Medical Records,3903,2229,57.1,62.8,7.6,6.73,2.8,9.9,1427.34,12,6.2,95.5,4.0
OUT_0188,2021,Q3,General Medicine,AI Diagnostics,3403,2863,84.1,90.8,5.2,0.52,12.4,6.1,2091.48,78,5.2,53.5,22.0
OUT_0189,2020,Q2,Oncology,Radiology AI,7917,5679,71.7,51.9,17.0,3.08,8.7,6.7,481.37,177,8.6,62.4,12.8
OUT_0190,2021,Q4,General Medicine,AI Pathology,7650,6222,81.3,50.1,14.5,0.82,13.1,6.8,3044.16,8,7.8,86.2,19.4
OUT_0191,2020,Q2,Pediatrics,Patient Monitoring AI,7002,6198,88.5,58.4,14.7,7.59,7.4,7.4,4908.88,16,8.0,79.2,18.6
OUT_0192,2023,Q3,Surgery,Predictive Analytics,1020,525,51.5,15.9,19.5,6.27,1.2,5.2,4644.98,130,5.5,76.2,15.3
OUT_0193,2022,Q1,Pediatrics,Chatbot Triage,2792,997,35.7,23.7,15.4,2.71,2.5,8.5,850.72,82,6.8,95.0,29.4
OUT_0194,2024,Q3,Neurology,AI Pathology,8251,6765,82.0,10.4,14.0,2.23,1.7,2.5,969.15,124,7.1,61.1,15.9
OUT_0195,2021,Q1,Neurology,Chatbot Triage,4616,2083,45.1,52.1,6.7,2.69,3.8,7.8,393.01,75,5.2,81.7,12.5
OUT_0196,2020,Q1,Radiology,Robotic Surgery AI,587,239,40.7,88.4,18.6,7.53,2.5,7.3,4341.64,77,7.6,50.1,4.4
OUT_0197,2020,Q2,Emergency,AI Drug Discovery,8218,3147,38.3,22.2,9.5,1.23,9.1,3.1,3918.8,73,7.7,67.0,5.9
OUT_0198,2023,Q3,Radiology,AI Drug Discovery,5047,1893,37.5,14.4,9.2,5.91,6.7,5.6,4932.32,109,9.3,79.5,7.3
OUT_0199,2021,Q1,Pathology,Patient Monitoring AI,4567,1832,40.1,73.3,6.5,4.84,3.0,3.2,3521.55,81,8.4,63.3,25.0
OUT_0200,2022,Q2,Radiology,Robotic Surgery AI,3406,2495,73.3,13.6,6.6,5.79,3.4,4.4,4901.64,106,5.0,90.0,1.2
