Metric_ID,Year,Quarter,Service_Type,Ministry_Department,Region,Total_Requests,AI_Processed_Requests,Resolved_Requests,Resolution_Rate_%,Avg_Processing_Time_Days,Error_Rate_%,Cost_Per_Request_INR,Citizen_Complaints,Repeat_Requests_%,Digital_Adoption_Rate_%,Fraud_Cases_Detected,Fraud_Amount_Saved_Lakh_INR
SVC_0180,2021,Q2,Grievance Redressal,Ministry of Defence,South India,221497,138466,132896,60.0,28.5,0.9,527.88,145,11.8,82.8,252,77.13
SVC_0181,2023,Q4,Education Enrollment,Ministry of Skill Development,East India,291481,147944,271471,93.1,23.5,12.8,1617.38,932,18.2,36.6,211,679.81
SVC_0182,2024,Q4,Land Records,Ministry of Education,South India,110680,49317,77098,69.7,27.6,6.8,1134.57,931,16.6,39.7,88,454.58
SVC_0183,2022,Q4,Police Complaints,Ministry of Transport,West India,60283,31507,30207,50.1,18.1,9.2,1740.11,754,20.8,59.2,452,727.31
SVC_0184,2020,Q2,Passport Services,Ministry of Science & Technology,West India,353192,104309,268470,76.0,2.0,2.3,801.14,213,15.5,35.5,318,206.01
SVC_0185,2023,Q4,License Renewal,Ministry of Rural Development,South India,234949,82034,217440,92.5,20.1,10.2,869.93,442,7.6,45.4,100,206.01
SVC_0186,2020,Q4,Education Enrollment,Ministry of Finance,West India,324648,84770,257769,79.4,6.8,7.2,1307.87,491,2.5,39.5,123,70.35
SVC_0187,2020,Q3,Passport Services,Ministry of Education,North India,286880,222890,196334,68.4,17.5,2.3,1516.4,518,2.8,43.0,178,767.46
SVC_0188,2024,Q1,Permit Approvals,Ministry of Defence,West India,388233,109604,356754,91.9,4.9,3.2,1478.97,195,4.6,90.3,16,812.97
SVC_0189,2020,Q3,Education Enrollment,Ministry of Law & Justice,East India,182710,126785,131392,71.9,1.2,14.3,1232.45,698,17.8,45.4,476,81.5
SVC_0190,2023,Q4,Police Complaints,Ministry of Commerce,South India,229673,117754,148001,64.4,27.4,9.5,619.82,405,9.5,87.0,31,180.48
SVC_0191,2019,Q2,Grievance Redressal,Ministry of Transport,West India,253355,71931,217777,86.0,24.5,9.6,1345.06,404,5.7,26.5,114,844.4
SVC_0192,2022,Q1,Grievance Redressal,Ministry of Finance,South India,476001,360513,372734,78.3,10.2,6.5,922.77,789,22.7,48.3,4,884.36
SVC_0193,2020,Q1,Education Enrollment,Ministry of Rural Development,Central India,124644,87267,108298,86.9,5.4,0.9,229.0,719,28.8,24.3,249,430.1
SVC_0194,2020,Q3,Land Records,Ministry of Education,North India,317962,194681,227213,71.5,22.0,8.5,1230.24,514,22.0,94.5,348,191.49
SVC_0195,2019,Q3,Grievance Redressal,Ministry of Education,North India,322544,241409,177951,55.2,6.1,14.7,582.59,156,23.8,78.9,371,159.82
SVC_0196,2021,Q2,Permit Approvals,Ministry of Commerce,North India,2163,1154,1442,66.7,18.2,12.1,14.05,436,25.2,92.9,414,426.14
SVC_0197,2022,Q2,Subsidy Distribution,Ministry of Rural Development,West India,189953,51523,160774,84.6,28.3,9.0,1551.38,73,5.4,31.1,300,955.74
SVC_0198,2022,Q2,License Renewal,Ministry of Commerce,South India,298160,254307,159324,53.4,16.9,11.1,215.73,98,11.0,70.3,298,101.95
SVC_0199,2022,Q3,Subsidy Distribution,Ministry of Finance,South India,420123,100324,225469,53.7,11.6,14.8,361.83,455,12.7,82.2,245,387.84
SVC_0200,2019,Q4,Land Records,Ministry of Health,West India,2604,577,1546,59.4,23.3,4.6,842.61,330,11.0,40.0,147,450.38
